Cultivar	Alcohol	MalicAcid	Ash	Magnesium	Color	phenol/flav	value
2	12.67	0.98	2.24	99	2.62	TotalPhenol	2.2
2	12.16	1.61	2.31	90	2.45	TotalPhenol	1.78
2	11.65	1.67	2.62	88	2.6	TotalPhenol	1.92
2	11.64	2.06	2.46	84	2.8	TotalPhenol	1.95
2	12.08	1.33	2.3	70	1.74	TotalPhenol	2.2
2	12.08	1.83	2.32	81	2.4	TotalPhenol	1.6
2	12	1.51	2.42	86	3.6	TotalPhenol	1.45
2	12.69	1.53	2.26	80	3.05	TotalPhenol	1.38
2	12.29	2.83	2.22	88	2.15	TotalPhenol	2.45
2	11.62	1.99	2.28	98	3.25	TotalPhenol	3.02
2	12.47	1.52	2.2	162	2.6	TotalPhenol	2.5
2	11.81	2.12	2.74	134	2.5	TotalPhenol	1.6
2	12.29	1.41	1.98	85	2.9	TotalPhenol	2.55
2	12.37	1.07	2.1	88	4.5	TotalPhenol	3.52
2	12.29	3.17	2.21	88	2.3	TotalPhenol	2.85
2	12.08	2.08	1.7	97	3.3	TotalPhenol	2.23
2	12.6	1.34	1.9	88	2.45	TotalPhenol	1.45
2	12.34	2.45	2.46	98	2.8	TotalPhenol	2.56
2	11.82	1.72	1.88	86	2.06	TotalPhenol	2.5
2	12.51	1.73	1.98	85	2.94	TotalPhenol	2.2
2	12.42	2.55	2.27	90	2.7	TotalPhenol	1.68
2	12.25	1.73	2.12	80	3.4	TotalPhenol	1.65
2	12.72	1.75	2.28	84	3.3	TotalPhenol	1.38
2	12.22	1.29	1.94	92	2.7	TotalPhenol	2.36
2	11.61	1.35	2.7	94	2.65	TotalPhenol	2.74
2	11.46	3.74	1.82	107	2.9	TotalPhenol	3.18
2	12.52	2.43	2.17	88	2	TotalPhenol	2.55
2	11.76	2.68	2.92	103	3.8	TotalPhenol	1.75
2	11.41	0.74	2.5	88	3.08	TotalPhenol	2.48
2	12.08	1.39	2.5	84	2.9	TotalPhenol	2.56
2	11.03	1.51	2.2	85	1.9	TotalPhenol	2.46
2	11.82	1.47	1.99	86	1.95	TotalPhenol	1.98
2	12.42	1.61	2.19	108	2.06	TotalPhenol	2
2	12.77	3.43	1.98	80	3.4	TotalPhenol	1.63
2	12	3.43	2	87	1.28	TotalPhenol	2
2	11.45	2.4	2.42	96	3.25	TotalPhenol	2.9
2	11.56	2.05	3.23	119	6	TotalPhenol	3.18
2	12.42	4.43	2.73	102	2.08	TotalPhenol	2.2
2	13.05	5.8	2.13	86	2.6	TotalPhenol	2.62
2	11.87	4.31	2.39	82	2.8	TotalPhenol	2.86
2	12.07	2.16	2.17	85	2.76	TotalPhenol	2.6
2	12.43	1.53	2.29	86	3.94	TotalPhenol	2.74
2	11.79	2.13	2.78	92	3	TotalPhenol	2.13
2	12.37	1.63	2.3	88	2.12	TotalPhenol	2.22
2	12.04	4.3	2.38	80	2.6	TotalPhenol	2.1
3	12.86	1.35	2.32	122	4.1	TotalPhenol	1.51
3	12.88	2.99	2.4	104	5.4	TotalPhenol	1.3
3	12.81	2.31	2.4	98	5.7	TotalPhenol	1.15
3	12.7	3.55	2.36	106	5	TotalPhenol	1.7
3	12.51	1.24	2.25	85	5.45	TotalPhenol	2
3	12.6	2.46	2.2	94	7.1	TotalPhenol	1.62
3	12.25	4.72	2.54	89	3.85	TotalPhenol	1.38
3	12.53	5.51	2.64	96	5	TotalPhenol	1.79
3	13.49	3.59	2.19	88	5.7	TotalPhenol	1.62
3	12.84	2.96	2.61	101	4.92	TotalPhenol	2.32
3	12.93	2.81	2.7	96	4.6	TotalPhenol	1.54
3	13.36	2.56	2.35	89	5.6	TotalPhenol	1.4
3	13.52	3.17	2.72	97	4.35	TotalPhenol	1.55
3	13.62	4.95	2.35	92	4.4	TotalPhenol	2
3	12.25	3.88	2.2	112	8.21	TotalPhenol	1.38
3	13.16	3.57	2.15	102	4	TotalPhenol	1.5
3	13.88	5.04	2.23	80	4.9	TotalPhenol	0.98
3	12.87	4.61	2.48	86	7.65	TotalPhenol	1.7
3	13.32	3.24	2.38	92	8.42	TotalPhenol	1.93
3	13.08	3.9	2.36	113	9.4	TotalPhenol	1.41
3	13.5	3.12	2.62	123	8.6	TotalPhenol	1.4
3	12.79	2.67	2.48	112	10.8	TotalPhenol	1.48
3	13.11	1.9	2.75	116	7.1	TotalPhenol	2.2
3	13.23	3.3	2.28	98	10.52	TotalPhenol	1.8
3	12.58	1.29	2.1	103	7.6	TotalPhenol	1.48
3	13.17	5.19	2.32	93	7.9	TotalPhenol	1.74
3	13.84	4.12	2.38	89	9.01	TotalPhenol	1.8
3	12.45	3.03	2.64	97	7.5	TotalPhenol	1.9
3	14.34	1.68	2.7	98	13	TotalPhenol	2.8
3	13.48	1.67	2.64	89	11.75	TotalPhenol	2.6
3	12.36	3.83	2.38	88	7.65	TotalPhenol	2.3
3	13.69	3.26	2.54	107	5.88	TotalPhenol	1.83
3	12.85	3.27	2.58	106	5.58	TotalPhenol	1.65
3	12.96	3.45	2.35	106	5.28	TotalPhenol	1.39
3	13.78	2.76	2.3	90	9.58	TotalPhenol	1.35
3	13.73	4.36	2.26	88	6.62	TotalPhenol	1.28
3	13.45	3.7	2.6	111	10.68	TotalPhenol	1.7
3	12.82	3.37	2.3	88	10.26	TotalPhenol	1.48
3	13.58	2.58	2.69	105	8.66	TotalPhenol	1.55
3	13.4	4.6	2.86	112	8.5	TotalPhenol	1.98
3	12.2	3.03	2.32	96	5.5	TotalPhenol	1.25
3	12.77	2.39	2.28	86	9.899999	TotalPhenol	1.39
3	14.16	2.51	2.48	91	9.7	TotalPhenol	1.68
3	13.71	5.65	2.45	95	7.7	TotalPhenol	1.68
3	13.4	3.91	2.48	102	7.3	TotalPhenol	1.8
3	13.27	4.28	2.26	120	10.2	TotalPhenol	1.59
3	13.17	2.59	2.37	120	9.3	TotalPhenol	1.65
3	14.13	4.1	2.74	96	9.2	TotalPhenol	2.05
1	14.23	1.71	2.43	127	5.64	Flavanoids	3.06
1	13.2	1.78	2.14	100	4.38	Flavanoids	2.76
1	13.16	2.36	2.67	101	5.68	Flavanoids	3.24
1	14.37	1.95	2.5	113	7.8	Flavanoids	3.49
1	13.24	2.59	2.87	118	4.32	Flavanoids	2.69
1	14.2	1.76	2.45	112	6.75	Flavanoids	3.39
1	14.39	1.87	2.45	96	5.25	Flavanoids	2.52
1	14.06	2.15	2.61	121	5.05	Flavanoids	2.51
1	14.83	1.64	2.17	97	5.2	Flavanoids	2.98
1	13.86	1.35	2.27	98	7.22	Flavanoids	3.15
1	14.1	2.16	2.3	105	5.75	Flavanoids	3.32
1	14.12	1.48	2.32	95	5	Flavanoids	2.43
1	13.75	1.73	2.41	89	5.6	Flavanoids	2.76
1	14.75	1.73	2.39	91	5.4	Flavanoids	3.69
1	14.38	1.87	2.38	102	7.5	Flavanoids	3.64
1	13.63	1.81	2.7	112	7.3	Flavanoids	2.91
1	14.3	1.92	2.72	120	6.2	Flavanoids	3.14
1	13.83	1.57	2.62	115	6.6	Flavanoids	3.4
1	14.19	1.59	2.48	108	8.7	Flavanoids	3.93
1	13.64	3.1	2.56	116	5.1	Flavanoids	3.03
1	14.06	1.63	2.28	126	5.65	Flavanoids	3.17
1	12.93	3.8	2.65	102	4.5	Flavanoids	2.41
1	13.71	1.86	2.36	101	3.8	Flavanoids	2.88
1	12.85	1.6	2.52	95	3.93	Flavanoids	2.37
1	13.5	1.81	2.61	96	3.52	Flavanoids	2.61
1	13.05	2.05	3.22	124	3.58	Flavanoids	2.68
1	13.39	1.77	2.62	93	4.8	Flavanoids	2.94
1	13.3	1.72	2.14	94	3.95	Flavanoids	2.19
1	13.87	1.9	2.8	107	4.5	Flavanoids	2.97
1	14.02	1.68	2.21	96	4.7	Flavanoids	2.33
1	13.73	1.5	2.7	101	5.7	Flavanoids	3.25
1	13.58	1.66	2.36	106	6.9	Flavanoids	3.19
1	13.68	1.83	2.36	104	3.84	Flavanoids	2.69
1	13.76	1.53	2.7	132	5.4	Flavanoids	2.74
1	13.51	1.8	2.65	110	4.2	Flavanoids	2.53
1	13.48	1.81	2.41	100	5.1	Flavanoids	2.98
1	13.28	1.64	2.84	110	4.6	Flavanoids	2.68
1	13.05	1.65	2.55	98	4.25	Flavanoids	2.43
1	13.07	1.5	2.1	98	3.7	Flavanoids	2.64
1	14.22	3.99	2.51	128	5.1	Flavanoids	3.04
1	13.56	1.71	2.31	117	6.13	Flavanoids	3.29
1	13.41	3.84	2.12	90	4.28	Flavanoids	2.68
1	13.88	1.89	2.59	101	5.43	Flavanoids	3.56
1	13.24	3.98	2.29	103	4.36	Flavanoids	2.63
1	13.05	1.77	2.1	107	5.04	Flavanoids	3
1	14.21	4.04	2.44	111	5.24	Flavanoids	2.65
1	14.38	3.59	2.28	102	4.9	Flavanoids	3.17
1	13.9	1.68	2.12	101	6.1	Flavanoids	3.39
1	14.1	2.02	2.4	103	6.2	Flavanoids	2.92
1	13.94	1.73	2.27	108	8.9	Flavanoids	3.54
1	13.05	1.73	2.04	92	7.2	Flavanoids	3.27
1	13.83	1.65	2.6	94	5.6	Flavanoids	2.99
1	13.82	1.75	2.42	111	7.05	Flavanoids	3.74
1	13.77	1.9	2.68	115	6.3	Flavanoids	2.79
1	13.74	1.67	2.25	118	5.85	Flavanoids	2.9
1	13.56	1.73	2.46	116	6.25	Flavanoids	2.78
1	14.22	1.7	2.3	118	6.38	Flavanoids	3
1	13.29	1.97	2.68	102	6	Flavanoids	3.23
1	13.72	1.43	2.5	108	6.8	Flavanoids	3.67
2	12.37	0.94	1.36	88	1.95	Flavanoids	0.57
2	12.33	1.1	2.28	101	3.27	Flavanoids	1.09
2	12.64	1.36	2.02	100	5.75	Flavanoids	1.41
2	13.67	1.25	1.92	94	3.8	Flavanoids	1.79
2	12.37	1.13	2.16	87	4.45	Flavanoids	3.1
2	12.17	1.45	2.53	104	2.95	Flavanoids	1.75
2	12.37	1.21	2.56	98	4.6	Flavanoids	2.65
2	13.11	1.01	1.7	78	5.3	Flavanoids	3.18
2	12.37	1.17	1.92	78	4.68	Flavanoids	2
2	13.34	0.94	2.36	110	3.17	Flavanoids	1.3
2	12.21	1.19	1.75	151	2.85	Flavanoids	1.28
2	12.29	1.61	2.21	103	3.05	Flavanoids	1.02
2	13.86	1.51	2.67	86	3.38	Flavanoids	2.86
2	13.49	1.66	2.24	87	3.74	Flavanoids	1.84
2	12.99	1.67	2.6	139	3.35	Flavanoids	2.89
2	11.96	1.09	2.3	101	3.21	Flavanoids	2.14
2	11.66	1.88	1.92	97	3.8	Flavanoids	1.57
2	13.03	0.9	1.71	86	4.6	Flavanoids	2.03
2	11.84	2.89	2.23	112	2.65	Flavanoids	1.32
2	12.33	0.99	1.95	136	3.4	Flavanoids	1.85
2	12.7	3.87	2.4	101	2.57	Flavanoids	2.55
2	12	0.92	2	86	2.5	Flavanoids	2.26
2	12.72	1.81	2.2	86	3.9	Flavanoids	2.53
2	12.08	1.13	2.51	78	2.2	Flavanoids	1.58
2	13.05	3.86	2.32	85	4.8	Flavanoids	1.59
2	11.84	0.89	2.58	94	3.05	Flavanoids	2.21
2	12.67	0.98	2.24	99	2.62	Flavanoids	1.94
2	12.16	1.61	2.31	90	2.45	Flavanoids	1.69
2	11.65	1.67	2.62	88	2.6	Flavanoids	1.61
2	11.64	2.06	2.46	84	2.8	Flavanoids	1.69
2	12.08	1.33	2.3	70	1.74	Flavanoids	1.59
2	12.08	1.83	2.32	81	2.4	Flavanoids	1.5
2	12	1.51	2.42	86	3.6	Flavanoids	1.25
2	12.69	1.53	2.26	80	3.05	Flavanoids	1.46
2	12.29	2.83	2.22	88	2.15	Flavanoids	2.25
2	11.62	1.99	2.28	98	3.25	Flavanoids	2.26
2	12.47	1.52	2.2	162	2.6	Flavanoids	2.27
2	11.81	2.12	2.74	134	2.5	Flavanoids	0.99
2	12.29	1.41	1.98	85	2.9	Flavanoids	2.5
2	12.37	1.07	2.1	88	4.5	Flavanoids	3.75
2	12.29	3.17	2.21	88	2.3	Flavanoids	2.99
2	12.08	2.08	1.7	97	3.3	Flavanoids	2.17
2	12.6	1.34	1.9	88	2.45	Flavanoids	1.36
2	12.34	2.45	2.46	98	2.8	Flavanoids	2.11
2	11.82	1.72	1.88	86	2.06	Flavanoids	1.64
2	12.51	1.73	1.98	85	2.94	Flavanoids	1.92
2	12.42	2.55	2.27	90	2.7	Flavanoids	1.84
2	12.25	1.73	2.12	80	3.4	Flavanoids	2.03
2	12.72	1.75	2.28	84	3.3	Flavanoids	1.76
2	12.22	1.29	1.94	92	2.7	Flavanoids	2.04
2	11.61	1.35	2.7	94	2.65	Flavanoids	2.92
2	11.46	3.74	1.82	107	2.9	Flavanoids	2.58
2	12.52	2.43	2.17	88	2	Flavanoids	2.27
2	11.76	2.68	2.92	103	3.8	Flavanoids	2.03
2	11.41	0.74	2.5	88	3.08	Flavanoids	2.01
2	12.08	1.39	2.5	84	2.9	Flavanoids	2.29
2	11.03	1.51	2.2	85	1.9	Flavanoids	2.17
2	11.82	1.47	1.99	86	1.95	Flavanoids	1.6
2	12.42	1.61	2.19	108	2.06	Flavanoids	2.09
2	12.77	3.43	1.98	80	3.4	Flavanoids	1.25
2	12	3.43	2	87	1.28	Flavanoids	1.64
2	11.45	2.4	2.42	96	3.25	Flavanoids	2.79
2	11.56	2.05	3.23	119	6	Flavanoids	5.08
2	12.42	4.43	2.73	102	2.08	Flavanoids	2.13
2	13.05	5.8	2.13	86	2.6	Flavanoids	2.65
2	11.87	4.31	2.39	82	2.8	Flavanoids	3.03
2	12.07	2.16	2.17	85	2.76	Flavanoids	2.65
2	12.43	1.53	2.29	86	3.94	Flavanoids	3.15
2	11.79	2.13	2.78	92	3	Flavanoids	2.24
2	12.37	1.63	2.3	88	2.12	Flavanoids	2.45
2	12.04	4.3	2.38	80	2.6	Flavanoids	1.75
3	12.86	1.35	2.32	122	4.1	Flavanoids	1.25
3	12.88	2.99	2.4	104	5.4	Flavanoids	1.22
3	12.81	2.31	2.4	98	5.7	Flavanoids	1.09
3	12.7	3.55	2.36	106	5	Flavanoids	1.2
3	12.51	1.24	2.25	85	5.45	Flavanoids	0.58
3	12.6	2.46	2.2	94	7.1	Flavanoids	0.66
3	12.25	4.72	2.54	89	3.85	Flavanoids	0.47
3	12.53	5.51	2.64	96	5	Flavanoids	0.6
3	13.49	3.59	2.19	88	5.7	Flavanoids	0.48
3	12.84	2.96	2.61	101	4.92	Flavanoids	0.6
3	12.93	2.81	2.7	96	4.6	Flavanoids	0.5
3	13.36	2.56	2.35	89	5.6	Flavanoids	0.5
3	13.52	3.17	2.72	97	4.35	Flavanoids	0.52
3	13.62	4.95	2.35	92	4.4	Flavanoids	0.8
3	12.25	3.88	2.2	112	8.21	Flavanoids	0.78
3	13.16	3.57	2.15	102	4	Flavanoids	0.55
3	13.88	5.04	2.23	80	4.9	Flavanoids	0.34
3	12.87	4.61	2.48	86	7.65	Flavanoids	0.65
3	13.32	3.24	2.38	92	8.42	Flavanoids	0.76
3	13.08	3.9	2.36	113	9.4	Flavanoids	1.39
3	13.5	3.12	2.62	123	8.6	Flavanoids	1.57
3	12.79	2.67	2.48	112	10.8	Flavanoids	1.36
3	13.11	1.9	2.75	116	7.1	Flavanoids	1.28
3	13.23	3.3	2.28	98	10.52	Flavanoids	0.83
3	12.58	1.29	2.1	103	7.6	Flavanoids	0.58
3	13.17	5.19	2.32	93	7.9	Flavanoids	0.63
3	13.84	4.12	2.38	89	9.01	Flavanoids	0.83
3	12.45	3.03	2.64	97	7.5	Flavanoids	0.58
3	14.34	1.68	2.7	98	13	Flavanoids	1.31
3	13.48	1.67	2.64	89	11.75	Flavanoids	1.1
3	12.36	3.83	2.38	88	7.65	Flavanoids	0.92
3	13.69	3.26	2.54	107	5.88	Flavanoids	0.56
3	12.85	3.27	2.58	106	5.58	Flavanoids	0.6
3	12.96	3.45	2.35	106	5.28	Flavanoids	0.7
3	13.78	2.76	2.3	90	9.58	Flavanoids	0.68
3	13.73	4.36	2.26	88	6.62	Flavanoids	0.47
3	13.45	3.7	2.6	111	10.68	Flavanoids	0.92
3	12.82	3.37	2.3	88	10.26	Flavanoids	0.66
3	13.58	2.58	2.69	105	8.66	Flavanoids	0.84
3	13.4	4.6	2.86	112	8.5	Flavanoids	0.96
3	12.2	3.03	2.32	96	5.5	Flavanoids	0.49
3	12.77	2.39	2.28	86	9.899999	Flavanoids	0.51
3	14.16	2.51	2.48	91	9.7	Flavanoids	0.7
3	13.71	5.65	2.45	95	7.7	Flavanoids	0.61
3	13.4	3.91	2.48	102	7.3	Flavanoids	0.75
3	13.27	4.28	2.26	120	10.2	Flavanoids	0.69
3	13.17	2.59	2.37	120	9.3	Flavanoids	0.68
3	14.13	4.1	2.74	96	9.2	Flavanoids	0.76
1	14.23	1.71	2.43	127	5.64	NonflavPhenols	0.28
1	13.2	1.78	2.14	100	4.38	NonflavPhenols	0.26
1	13.16	2.36	2.67	101	5.68	NonflavPhenols	0.3
1	14.37	1.95	2.5	113	7.8	NonflavPhenols	0.24
1	13.24	2.59	2.87	118	4.32	NonflavPhenols	0.39
1	14.2	1.76	2.45	112	6.75	NonflavPhenols	0.34
1	14.39	1.87	2.45	96	5.25	NonflavPhenols	0.3
1	14.06	2.15	2.61	121	5.05	NonflavPhenols	0.31
1	14.83	1.64	2.17	97	5.2	NonflavPhenols	0.29
1	13.86	1.35	2.27	98	7.22	NonflavPhenols	0.22
1	14.1	2.16	2.3	105	5.75	NonflavPhenols	0.22
1	14.12	1.48	2.32	95	5	NonflavPhenols	0.26
1	13.75	1.73	2.41	89	5.6	NonflavPhenols	0.29
1	14.75	1.73	2.39	91	5.4	NonflavPhenols	0.43
1	14.38	1.87	2.38	102	7.5	NonflavPhenols	0.29
1	13.63	1.81	2.7	112	7.3	NonflavPhenols	0.3
1	14.3	1.92	2.72	120	6.2	NonflavPhenols	0.33
1	13.83	1.57	2.62	115	6.6	NonflavPhenols	0.4
1	14.19	1.59	2.48	108	8.7	NonflavPhenols	0.32
1	13.64	3.1	2.56	116	5.1	NonflavPhenols	0.17
1	14.06	1.63	2.28	126	5.65	NonflavPhenols	0.24
1	12.93	3.8	2.65	102	4.5	NonflavPhenols	0.25
1	13.71	1.86	2.36	101	3.8	NonflavPhenols	0.27
1	12.85	1.6	2.52	95	3.93	NonflavPhenols	0.26
1	13.5	1.81	2.61	96	3.52	NonflavPhenols	0.28
1	13.05	2.05	3.22	124	3.58	NonflavPhenols	0.47
1	13.39	1.77	2.62	93	4.8	NonflavPhenols	0.34
1	13.3	1.72	2.14	94	3.95	NonflavPhenols	0.27
1	13.87	1.9	2.8	107	4.5	NonflavPhenols	0.37
1	14.02	1.68	2.21	96	4.7	NonflavPhenols	0.26
1	13.73	1.5	2.7	101	5.7	NonflavPhenols	0.29
1	13.58	1.66	2.36	106	6.9	NonflavPhenols	0.22
1	13.68	1.83	2.36	104	3.84	NonflavPhenols	0.42
1	13.76	1.53	2.7	132	5.4	NonflavPhenols	0.5
1	13.51	1.8	2.65	110	4.2	NonflavPhenols	0.29
1	13.48	1.81	2.41	100	5.1	NonflavPhenols	0.26
1	13.28	1.64	2.84	110	4.6	NonflavPhenols	0.34
1	13.05	1.65	2.55	98	4.25	NonflavPhenols	0.29
1	13.07	1.5	2.1	98	3.7	NonflavPhenols	0.28
1	14.22	3.99	2.51	128	5.1	NonflavPhenols	0.2
1	13.56	1.71	2.31	117	6.13	NonflavPhenols	0.34
1	13.41	3.84	2.12	90	4.28	NonflavPhenols	0.27
1	13.88	1.89	2.59	101	5.43	NonflavPhenols	0.17
1	13.24	3.98	2.29	103	4.36	NonflavPhenols	0.32
1	13.05	1.77	2.1	107	5.04	NonflavPhenols	0.28
1	14.21	4.04	2.44	111	5.24	NonflavPhenols	0.3
1	14.38	3.59	2.28	102	4.9	NonflavPhenols	0.27
1	13.9	1.68	2.12	101	6.1	NonflavPhenols	0.21
1	14.1	2.02	2.4	103	6.2	NonflavPhenols	0.32
1	13.94	1.73	2.27	108	8.9	NonflavPhenols	0.32
1	13.05	1.73	2.04	92	7.2	NonflavPhenols	0.17
1	13.83	1.65	2.6	94	5.6	NonflavPhenols	0.22
1	13.82	1.75	2.42	111	7.05	NonflavPhenols	0.32
1	13.77	1.9	2.68	115	6.3	NonflavPhenols	0.39
1	13.74	1.67	2.25	118	5.85	NonflavPhenols	0.21
1	13.56	1.73	2.46	116	6.25	NonflavPhenols	0.2
1	14.22	1.7	2.3	118	6.38	NonflavPhenols	0.26
1	13.29	1.97	2.68	102	6	NonflavPhenols	0.31
1	13.72	1.43	2.5	108	6.8	NonflavPhenols	0.19
2	12.37	0.94	1.36	88	1.95	NonflavPhenols	0.28
2	12.33	1.1	2.28	101	3.27	NonflavPhenols	0.63
2	12.64	1.36	2.02	100	5.75	NonflavPhenols	0.53
2	13.67	1.25	1.92	94	3.8	NonflavPhenols	0.32
2	12.37	1.13	2.16	87	4.45	NonflavPhenols	0.19
2	12.17	1.45	2.53	104	2.95	NonflavPhenols	0.45
2	12.37	1.21	2.56	98	4.6	NonflavPhenols	0.37
2	13.11	1.01	1.7	78	5.3	NonflavPhenols	0.26
2	12.37	1.17	1.92	78	4.68	NonflavPhenols	0.27
2	13.34	0.94	2.36	110	3.17	NonflavPhenols	0.55
2	12.21	1.19	1.75	151	2.85	NonflavPhenols	0.14
2	12.29	1.61	2.21	103	3.05	NonflavPhenols	0.37
2	13.86	1.51	2.67	86	3.38	NonflavPhenols	0.21
2	13.49	1.66	2.24	87	3.74	NonflavPhenols	0.27
2	12.99	1.67	2.6	139	3.35	NonflavPhenols	0.21
2	11.96	1.09	2.3	101	3.21	NonflavPhenols	0.13
2	11.66	1.88	1.92	97	3.8	NonflavPhenols	0.34
2	13.03	0.9	1.71	86	4.6	NonflavPhenols	0.24
2	11.84	2.89	2.23	112	2.65	NonflavPhenols	0.43
2	12.33	0.99	1.95	136	3.4	NonflavPhenols	0.35
2	12.7	3.87	2.4	101	2.57	NonflavPhenols	0.43
2	12	0.92	2	86	2.5	NonflavPhenols	0.3
2	12.72	1.81	2.2	86	3.9	NonflavPhenols	0.26
2	12.08	1.13	2.51	78	2.2	NonflavPhenols	0.4
2	13.05	3.86	2.32	85	4.8	NonflavPhenols	0.61
